Row Labels,Average of AVG_DEPTH,Average of Percent_Cvr
MacroOtherFleshy,4.648199851,2
Millepora spp,4.571999854,2
Other species,4.648199851,4
Palythoa spp,4.648199851,7
Peysonnellia,4.648199851,3
Porifera spp,4.648199851,10
Porites astreoides,4.571999854,1
Porites porites,4.724399849,1
Rhodophyta cru. spp,4.648199851,5.5
Siderastrea siderea,4.648199851,2
Turf Algae Free of Sediment,4.648199851,26
1525,6.714564491,6.382352941
Agaricia agaricites,6.857999781,1
Bare Substrate,6.705599785,37.5
Dichocoenia stokesii,6.55319979,1
Dictyota spp,6.705599785,20.5
Encrusting gorgonian,6.55319979,1
Erythropodium caribaeorum,6.705599785,2.5
Gorgonians,6.857999781,4
Halimeda spp,6.857999781,3
MacroOtherFleshy,6.705599785,4.5
Other species,6.857999781,2
Palythoa spp,6.857999781,3
Peysonnellia,6.55319979,1
Porifera spp,6.705599785,10
Porites porites,6.705599785,1.5
Rhodophyta cru. spp,6.705599785,3
Siderastrea siderea,6.55319979,1
Turf Algae Free of Sediment,6.705599785,12
1526,4.638674852,7.28125
Agaricia agaricites,4.724399849,2
Bare Substrate,4.571999854,24
Cyanophyta spp,4.571999854,1
Dictyota spp,4.648199851,3.5
Erythropodium caribaeorum,4.724399849,4
Gorgonians,4.648199851,3.5
Halimeda spp,4.648199851,4
Millepora spp,4.648199851,1.5
Montastraea cavernosa,4.571999854,1
Other species,4.571999854,1
Palythoa spp,4.648199851,15.5
Peysonnellia,4.648199851,3
Porifera spp,4.648199851,9
Rhodophyta cru. spp,4.648199851,3
Siderastrea siderea,4.648199851,2
Turf Algae Free of Sediment,4.648199851,38.5
1527,8.343899733,10.35
Bare Substrate,8.458199729,15
Dictyota spp,8.458199729,28.5
Gorgonians,8.458199729,1.5
Millepora spp,8.077199742,2
Palythoa spp,8.077199742,4
Peysonnellia,8.458199729,5
Porifera spp,8.458199729,4
Rhodophyta cru. spp,8.458199729,7
Siderastrea siderea,8.077199742,1
Turf Algae Free of Sediment,8.458199729,35.5
1530,4.114799868,16.75
Bare Substrate,4.114799868,30
Dictyota spp,4.114799868,2
Lobophora spp,4.114799868,1
MacroOtherFleshy,4.114799868,42
Rhodophyta cru. spp,4.114799868,4.5
Turf Algae Free of Sediment,4.114799868,21
1531,13.17497958,10.15
Bare Substrate,13.33499957,10
Dictyota spp,13.33499957,41
Halimeda spp,13.33499957,3.5
MacroOtherFleshy,12.80159959,1
Millepora spp,12.80159959,1
Peysonnellia,13.33499957,1.5
Porifera spp,13.33499957,12
Porites porites,12.80159959,1
Rhodophyta cru. spp,13.33499957,4.5
Turf Algae Free of Sediment,13.33499957,26
1547,8.153399739,6.5
Agaricia agaricites,7.924799746,2
Bare Substrate,8.153399739,9
Dictyota spp,8.153399739,22.5
Encrusting gorgonian,8.153399739,1
Erythropodium caribaeorum,8.153399739,1.5
Gorgonians,8.153399739,1
Halimeda spp,8.153399739,1.5
MacroOtherFleshy,8.381999732,1
Millepora spp,8.153399739,1
Other species,8.381999732,1
Palythoa spp,7.924799746,2
Peysonnellia,8.153399739,7.5
Porifera spp,8.381999732,1
Porites astreoides,7.924799746,1
Rhodophyta cru. spp,8.153399739,9
Turf Algae Free of Sediment,8.153399739,42
1554,14.14598526,7.321428571
Bare Substrate,14.09699955,14.5
Cyanophyta spp,14.32559954,1
Dictyota spp,14.09699955,28.5
Encrusting gorgonian,14.09699955,7.5
Erythropodium caribaeorum,14.09699955,2.5
Halimeda spp,14.09699955,1.5
Lobophora spp,14.09699955,12.5
Millepora spp,14.32559954,1
Peysonnellia,14.32559954,1
Porifera spp,14.09699955,1.5
Porites porites,13.86839956,1
Rhodophyta cru. spp,14.09699955,10
Siderastrea siderea,14.32559954,1
Turf Algae Free of Sediment,14.09699955,19
1563,9.235439705,6.833333333
Bare Substrate,9.220199705,2.5
Colpophyllia natans,9.296399703,1
Dictyota spp,9.220199705,25.5
Encrusting gorgonian,9.220199705,11.5
Erythropodium caribaeorum,9.220199705,12
Lobophora spp,9.220199705,2.5
Millepora spp,9.296399703,1
Orbicella faveolata,9.220199705,1
Peysonnellia,9.296399703,1
Porifera spp,9.220199705,8.5
Porites astreoides,9.296399703,1
Rhodophyta cru. spp,9.220199705,14
Siderastrea siderea,9.220199705,3.5
Stephanocoenia intersepta,9.143999707,1
Turf Algae Free of Sediment,9.220199705,16.5
1566,7.104184388,8.192307692
Bare Substrate,7.086599773,3
Dictyota spp,7.086599773,30
Erythropodium caribaeorum,6.857999781,1
Gorgonians,6.857999781,3
Halimeda spp,7.086599773,1
Millepora spp,7.315199766,3
Palythoa spp,7.086599773,1
Peysonnellia,7.315199766,5
Porifera spp,7.086599773,2.5
Porites porites,7.086599773,1
Rhodophyta cru. spp,7.086599773,4.5
Siderastrea siderea,7.315199766,1
Turf Algae Free of Sediment,7.086599773,50.5
1568,9.560168925,8.307692308
Agaricia agaricites,9.601199693,1
Bare Substrate,9.524999695,37.5
Dictyota spp,9.524999695,16
Erythropodium caribaeorum,9.601199693,1
Gorgonians,9.601199693,2
Halimeda spp,9.601199693,4
MacroOtherFleshy,9.448799698,3
Other species,9.601199693,1
Peysonnellia,9.601199693,3
Porifera spp,9.524999695,7
Porites porites,9.601199693,1
Rhodophyta cru. spp,9.524999695,2
Turf Algae Free of Sediment,9.524999695,29.5
1570,14.11128705,6.46875
Bare Substrate,14.09699955,23
Cyanophyta spp,13.86839956,1
Dichocoenia stokesii,14.32559954,1
Dictyota spp,14.09699955,25
Erythropodium caribaeorum,14.09699955,1.5
Gorgonians,13.86839956,1
Halimeda spp,14.09699955,2
MacroOtherFleshy,13.86839956,1
Millepora spp,14.09699955,1.5
Other species,14.32559954,1
Porifera spp,14.09699955,12
Porites astreoides,14.32559954,1
Porites porites,14.32559954,1
Rhodophyta cru. spp,14.09699955,1
Siderastrea siderea,14.09699955,1.5
Turf Algae Free of Sediment,14.09699955,29
1630,8.534399727,25
Halimeda spp,8.534399727,9
MacroOtherFleshy,8.534399727,6
Magnoliophyta spp,8.534399727,12
Turf Algae with Sediment,8.534399727,73
1669,2.895599907,14.28571429
Bare Substrate,2.895599907,8
Cyanophyta spp,2.895599907,1
Gorgonians,2.895599907,2
MacroOtherFleshy,2.895599907,5
Porites porites,2.895599907,1
Rhodophyta cru. spp,2.895599907,3
Turf Algae with Sediment,2.895599907,80
Lower Keys,8.142432041,7.952124402
1004,2.743199912,12.5
Bare Substrate,2.743199912,2
Dictyota spp,2.743199912,26
Gorgonians,2.743199912,1
MacroOtherCalcareous,2.743199912,21
MacroOtherFleshy,2.743199912,43
Magnoliophyta spp,2.743199912,2
Other species,2.743199912,1
Porifera spp,2.743199912,4
1008,5.94359981,7.142857143
Bare Substrate,5.94359981,44
Cliona spp,5.94359981,2
Cyanophyta spp,5.94359981,1
Dichocoenia stokesii,5.94359981,5
Dictyota spp,5.94359981,2
Favia fragum,5.94359981,2
Gorgonians,5.94359981,4
Halimeda spp,5.94359981,19
Orbicella faveolata,5.94359981,8
Other species,5.94359981,1
Porifera spp,5.94359981,3
Siderastrea radians,5.94359981,2
Siderastrea siderea,5.94359981,3
Turf Algae with Sediment,5.94359981,4
1020,6.095999805,7.142857143
Bare Substrate,6.095999805,25
Colpophyllia natans,6.095999805,1
Dichocoenia stokesii,6.095999805,6
Encrusting gorgonian,6.095999805,7
Gorgonians,6.095999805,10
Montastraea cavernosa,6.095999805,9
Palythoa spp,6.095999805,2
Porifera spp,6.095999805,13
Porites astreoides,6.095999805,1
Rhodophyta cru. spp,6.095999805,1
Siderastrea radians,6.095999805,1
Siderastrea siderea,6.095999805,8
Stephanocoenia intersepta,6.095999805,6
Turf Algae with Sediment,6.095999805,10
1030,5.791199815,7.692307692
Bare Substrate,5.791199815,1
Cliona spp,5.791199815,2
Cyanophyta spp,5.791199815,1
Dichocoenia stokesii,5.791199815,1
Encrusting gorgonian,5.791199815,5
Gorgonians,5.791199815,9
MacroOtherCalcareous,5.791199815,3
Orbicella faveolata,5.791199815,5
Palythoa spp,5.791199815,4
Porifera spp,5.791199815,10
Siderastrea siderea,5.791199815,9
Stephanocoenia intersepta,5.791199815,6
Turf Algae with Sediment,5.791199815,44
1031,10.66799966,14.28571429
Bare Substrate,10.66799966,77
Gorgonians,10.66799966,2
MacroOtherFleshy,10.66799966,13
Other species,10.66799966,1
Porifera spp,10.66799966,5
Solenastrea spp,10.66799966,1
Turf Algae with Sediment,10.66799966,1
1037,8.991599712,11.11111111
Bare Substrate,8.991599712,13
Colpophyllia natans,8.991599712,4
Gorgonians,8.991599712,16
Millepora spp,8.991599712,4
Palythoa spp,8.991599712,3
Porifera spp,8.991599712,5
Siderastrea siderea,8.991599712,13
Stephanocoenia intersepta,8.991599712,2
Turf Algae with Sediment,8.991599712,40
1043,6.857999781,9.090909091
Bare Substrate,6.857999781,15
Cyanophyta spp,6.857999781,1
Encrusting gorgonian,6.857999781,4
Gorgonians,6.857999781,10
MacroOtherCalcareous,6.857999781,1
MacroOtherFleshy,6.857999781,3
Orbicella faveolata,6.857999781,2
Porifera spp,6.857999781,18
Siderastrea siderea,6.857999781,6
Stephanocoenia intersepta,6.857999781,2
Turf Algae with Sediment,6.857999781,38
1047,5.94359981,9.090909091
Bare Substrate,5.94359981,11
Cliona spp,5.94359981,1
Cyanophyta spp,5.94359981,4
Gorgonians,5.94359981,10
MacroOtherCalcareous,5.94359981,9
Millepora spp,5.94359981,1
Montastraea cavernosa,5.94359981,1
Porifera spp,5.94359981,11
Rhodophyta cru. spp,5.94359981,3
Siderastrea siderea,5.94359981,5
Turf Algae with Sediment,5.94359981,44
1106,9.601199693,6.25
Agaricia agaricites,9.601199693,1
Colpophyllia natans,9.601199693,1
Cyanophyta spp,9.601199693,8
Dictyota spp,9.601199693,1
Diploria labyrinthiformis,9.601199693,1
Eusmilia fastigiata,9.601199693,1
Gorgonians,9.601199693,1
MacroOtherFleshy,9.601199693,11
Madracis decactis,9.601199693,1
Millepora spp,9.601199693,1
Orbicella faveolata,9.601199693,2
Porifera spp,9.601199693,14
Porites astreoides,9.601199693,1
Siderastrea siderea,9.601199693,5
Stephanocoenia intersepta,9.601199693,1
Turf Algae with Sediment,9.601199693,50
1172,7.772399751,9.090909091
Bare Substrate,7.772399751,23
Cliona spp,7.772399751,3
Cyanophyta spp,7.772399751,6
Encrusting gorgonian,7.772399751,4
Gorgonians,7.772399751,5
MacroOtherFleshy,7.772399751,3
Montastraea cavernosa,7.772399751,6
Porifera spp,7.772399751,8
Siderastrea siderea,7.772399751,3
Turf Algae Free of Sediment,7.772399751,4
Turf Algae with Sediment,7.772399751,35
1231,6.2483998,12.5
Bare Substrate,6.2483998,4
Cyanophyta spp,6.2483998,6
Dictyota spp,6.2483998,43
Gorgonians,6.2483998,2
Millepora spp,6.2483998,1
Porifera spp,6.2483998,3
Siderastrea siderea,6.2483998,2
Turf Algae with Sediment,6.2483998,39
1256,1.371599956,16.66666667
Bare Substrate,1.371599956,6
Gorgonians,1.371599956,4
Millepora spp,1.371599956,1
Peysonnellia,1.371599956,10
Porites astreoides,1.371599956,3
Turf Algae with Sediment,1.371599956,76
1257,3.657599883,9.090909091
Agaricia agaricites,3.657599883,1
Cyanophyta spp,3.657599883,9
Dictyota spp,3.657599883,14
Gorgonians,3.657599883,9
MacroOtherFleshy,3.657599883,2
Palythoa spp,3.657599883,3
Porifera spp,3.657599883,5
Porites astreoides,3.657599883,10
Rhodophyta cru. spp,3.657599883,15
Siderastrea siderea,3.657599883,1
Turf Algae with Sediment,3.657599883,31
1274,3.809999878,10
Bare Substrate,3.809999878,7
Dictyota spp,3.809999878,38
Gorgonians,3.809999878,2
Halimeda spp,3.809999878,3
Millepora spp,3.809999878,1
Other species,3.809999878,1
Palythoa spp,3.809999878,5
Porifera spp,3.809999878,3
Siderastrea siderea,3.809999878,1
Turf Algae with Sediment,3.809999878,39
1275,5.94359981,8.333333333
Bare Substrate,5.94359981,1
Cyanophyta spp,5.94359981,6
Dictyota spp,5.94359981,26
Encrusting gorgonian,5.94359981,1
Gorgonians,5.94359981,10
Millepora spp,5.94359981,1
Montastraea cavernosa,5.94359981,1
Palythoa spp,5.94359981,2
Porifera spp,5.94359981,4
Porites porites,5.94359981,1
Siderastrea siderea,5.94359981,1
Turf Algae with Sediment,5.94359981,46
1317,9.143999707,12.5
Bare Substrate,9.143999707,31
Dictyota spp,9.143999707,15
Gorgonians,9.143999707,1
MacroOtherFleshy,9.143999707,2
Millepora spp,9.143999707,1
Palythoa spp,9.143999707,3
Porifera spp,9.143999707,1
Turf Algae with Sediment,9.143999707,46
1319,18.8975994,9.090909091
Bare Substrate,18.8975994,59
Dictyota spp,18.8975994,4
Encrusting gorgonian,18.8975994,6
Gorgonians,18.8975994,2
Peysonnellia,18.8975994,1
Porifera spp,18.8975994,6
Rhodophyta cru. spp,18.8975994,4
Siderastrea radians,18.8975994,2
Siderastrea siderea,18.8975994,8
Stephanocoenia intersepta,18.8975994,3
Turf Algae with Sediment,18.8975994,5
1324,3.514724888,6.46875
Acropora cervicornis,3.657599883,1
Bare Substrate,3.505199888,21.5
Cyanophyta spp,3.657599883,2
Dictyota spp,3.505199888,3.5
Erythropodium caribaeorum,3.505199888,6
Gorgonians,3.505199888,2
Halimeda spp,3.505199888,27
Millepora spp,3.352799893,1
Montastraea cavernosa,3.505199888,1
Orbicella annularis,3.657599883,2
Peysonnellia,3.505199888,1.5
Porifera spp,3.505199888,2
Pseudodiploria strigosa,3.352799893,1
Rhodophyta cru. spp,3.505199888,5
Siderastrea siderea,3.505199888,3.5
Turf Algae Free of Sediment,3.505199888,23.5
1325,2.510117567,6.705882353
Bare Substrate,2.51459992,15
Dictyota spp,2.51459992,5
Diploria labyrinthiformis,2.438399922,1
Erythropodium caribaeorum,2.51459992,5
Halimeda spp,2.51459992,14
Montastraea cavernosa,2.51459992,3
Orbicella annularis,2.51459992,12
Orbicella faveolata,2.438399922,18
Peysonnellia,2.51459992,6.5
Porifera spp,2.51459992,3.5
Porites astreoides,2.590799917,2
Pseudodiploria strigosa,2.438399922,1
Rhodophyta cru. spp,2.590799917,3
Siderastrea siderea,2.51459992,5
Solenastrea bournoni,2.438399922,1
Stephanocoenia intersepta,2.590799917,2
Turf Algae Free of Sediment,2.51459992,17
1326,4.571999854,5.944444444
Bare Substrate,4.571999854,19
Colpophyllia natans,4.571999854,8.5
Cyanophyta spp,4.571999854,2
Dichocoenia stokesii,4.571999854,1
Diploria labyrinthiformis,4.571999854,1
Erythropodium caribaeorum,4.571999854,2.5
Halimeda spp,4.571999854,16
Millepora spp,4.571999854,1
Montastraea cavernosa,4.571999854,8
Orbicella annularis,4.571999854,12
Orbicella faveolata,4.571999854,5.5
Peysonnellia,4.571999854,3
Porifera spp,4.571999854,1
Porites astreoides,4.571999854,1
Rhodophyta cru. spp,4.571999854,3
Siderastrea radians,4.571999854,2
Siderastrea siderea,4.571999854,6
Turf Algae Free of Sediment,4.571999854,14.5
1327,2.752724912,7.09375
Bare Substrate,2.743199912,35
Colpophyllia natans,2.590799917,7
Gorgonians,2.590799917,1
Halimeda spp,2.743199912,11
MacroOtherCalcareous,2.743199912,2
Montastraea cavernosa,2.743199912,3
Orbicella annularis,2.895599907,3
Orbicella faveolata,2.743199912,12.5
Peysonnellia,2.743199912,3
Porifera spp,2.590799917,1
Porites astreoides,2.895599907,2
Pseudodiploria strigosa,2.895599907,5
Rhodophyta cru. spp,2.590799917,5
Siderastrea siderea,2.895599907,1
Stephanocoenia intersepta,2.895599907,2
Turf Algae Free of Sediment,2.743199912,20
1328,11.96339962,5.578947368
Bare Substrate,11.96339962,32.5
Cliona spp,11.73479962,2
Colpophyllia natans,11.96339962,7.5
Dichocoenia stokesii,11.73479962,1
Erythropodium caribaeorum,11.96339962,5.5
Gorgonians,11.96339962,1
Halimeda spp,12.19199961,1
Helioceris cucullata,12.19199961,2
Millepora spp,11.73479962,1
Montastraea cavernosa,11.73479962,2
Orbicella faveolata,11.96339962,1.5
Other species,12.19199961,2
Peysonnellia,11.96339962,1.5
Porifera spp,11.96339962,12.5
Pseudodiploria strigosa,12.19199961,1
Rhodophyta cru. spp,11.96339962,3.5
Siderastrea siderea,11.96339962,10.5
Stephanocoenia intersepta,11.96339962,4
Turf Algae Free of Sediment,11.96339962,14
1329,9.072282062,6.323529412
Bare Substrate,9.143999707,30.5
Cliona spp,8.839199717,1
Colpophyllia natans,9.143999707,4
Cyanophyta spp,9.448799698,1
Dichocoenia stokesii,9.448799698,1
Erythropodium caribaeorum,9.143999707,6
Gorgonians,8.839199717,2
Meandrina meandrites,8.839199717,1
Oculina diffusa,8.839199717,1
Orbicella faveolata,8.839199717,4
Palythoa spp,9.143999707,3.5
Porifera spp,9.143999707,7
Porites astreoides,9.143999707,2
Rhodophyta cru. spp,8.839199717,4
Siderastrea siderea,9.143999707,8
Stephanocoenia intersepta,9.143999707,4.5
Turf Algae Free of Sediment,9.143999707,27
1330,9.019673396,5.842105263
Bare Substrate,9.06779971,31
Cliona spp,9.296399703,1
Cyanophyta spp,9.06779971,1.5
Dichocoenia stokesii,8.839199717,1
Erythropodium caribaeorum,9.06779971,11.5
MacroOtherFleshy,8.839199717,2
Meandrina meandrites,8.839199717,3
Millepora spp,8.839199717,2
Montastraea cavernosa,9.06779971,5
Orbicella faveolata,9.296399703,1
Other species,8.839199717,1
Peysonnellia,9.06779971,1.5
Porifera spp,9.06779971,12.5
Porites astreoides,9.06779971,2
Porites furcata,8.839199717,2
Rhodophyta cru. spp,9.296399703,5
Siderastrea siderea,9.06779971,4
Stephanocoenia intersepta,8.839199717,4
Turf Algae Free of Sediment,9.06779971,20
1331,10.82039965,7.428571429
Bare Substrate,10.82039965,31.5
Cliona spp,10.82039965,3
Colpophyllia natans,10.82039965,3
Diploria labyrinthiformis,11.27759964,2
Erythropodium caribaeorum,10.82039965,4
MacroOtherFleshy,10.36319967,1
Millepora spp,11.27759964,2
Montastraea cavernosa,10.82039965,13
Porifera spp,10.82039965,12
Porites astreoides,10.36319967,3
Rhodophyta cru. spp,10.82039965,2.5
Siderastrea siderea,10.82039965,5.5
Stephanocoenia intersepta,10.82039965,4
Turf Algae Free of Sediment,10.82039965,17.5
1332,8.534399727,6.65625
Agaricia agaricites,8.534399727,1
Bare Substrate,8.534399727,35
Cliona spp,8.534399727,6
Colpophyllia natans,8.534399727,2
Cyanophyta spp,8.534399727,1
Erythropodium caribaeorum,8.534399727,6
Millepora spp,8.534399727,2
Montastraea cavernosa,8.534399727,10
Other species,8.534399727,1
Peysonnellia,8.534399727,1.5
Porifera spp,8.534399727,12
Porites astreoides,8.534399727,1
Rhodophyta cru. spp,8.534399727,2
Siderastrea siderea,8.534399727,5.5
Stephanocoenia intersepta,8.534399727,1
Turf Algae Free of Sediment,8.534399727,19.5
1333,8.78305235,5.605263158
Bare Substrate,8.686799722,35
Cliona spp,9.143999707,1
Colpophyllia natans,8.686799722,4.5
Cyanophyta spp,8.229599737,1
Encrusting gorgonian,9.143999707,1
Erythropodium caribaeorum,8.686799722,4
Gorgonians,8.686799722,2
Millepora spp,8.686799722,1.5
Montastraea cavernosa,8.686799722,6
Mussa angulosa,9.143999707,1
Orbicella faveolata,9.143999707,3
Other species,8.229599737,1
Peysonnellia,8.686799722,1
Porifera spp,8.686799722,12
Porites astreoides,8.686799722,1.5
Rhodophyta cru. spp,9.143999707,2
Siderastrea siderea,8.686799722,6.5
Stephanocoenia intersepta,9.143999707,3
Turf Algae Free of Sediment,8.686799722,19.5
1334,6.653462945,6.210526316
Agaricia agaricites,6.400799795,2
Bare Substrate,6.629399788,14.5
Cliona spp,6.400799795,2
Colpophyllia natans,6.857999781,8
Cyanophyta spp,6.857999781,2
Erythropodium caribaeorum,6.629399788,8.5
Gorgonians,6.629399788,4.5
Meandrina meandrites,6.400799795,2
Millepora spp,6.857999781,1
Montastraea cavernosa,6.629399788,4
Orbicella faveolata,6.857999781,14
Palythoa spp,6.629399788,3
Porifera spp,6.629399788,17.5
Porites astreoides,6.629399788,2
Pseudodiploria strigosa,6.857999781,5
Rhodophyta cru. spp,6.629399788,4
Siderastrea siderea,6.629399788,5
Stephanocoenia intersepta,6.629399788,3
Turf Algae Free of Sediment,6.629399788,16
1335,8.143874739,6.5
Bare Substrate,8.381999732,22
Cliona spp,9.143999707,1
Colpophyllia natans,8.381999732,10
Dichocoenia stokesii,7.619999756,2
Erythropodium caribaeorum,8.381999732,3
Eusmilia fastigiata,7.619999756,1
Gorgonians,7.619999756,1
Millepora spp,7.619999756,1
